EAN,Produto,Preço,Promoção,Link,Status,Tentativas
7891800375282,,,,,Produto não listado,1
7908615086170,,,,,Produto não listado,1
7891772156230,,,,,Produto não listado,1
7898636194186,,,,,Produto não listado,2
4005808257669,,,,,Produto não listado,1
7895144297590,,,,,Produto não listado,1
7899706159173,,,,,Produto não listado,1
7891055816035,,,,,Produto não listado,2
7896012877586,,,,,Produto não listado,1
7898277714446,,,,,Produto não listado,1
